Approach,Overall_A2k,Mean_A2k,Overall_calib,Wet_calib,Mid_calib,Dry_calib,Overall_valid,Wet_valid,Mid_valid,Dry_valid
"(""NNSE"", ""NmKGE"")",33.05467116144635,7.900393827855123,6.037744427464987,5.238708122857184,8.614630514664976,9.84784284604321,31.171574579721575,5.726952546251998,35.59939437521028,39.10786718572013
"(""NNSE"", ""mean_NmKGE"")",166.03685490575833,26.58484774057152,40.62251670085915,5.878877081913087,68.24820516772162,5.627460972079845,107.05558119217287,7.912373015031044,131.59896024881604,49.603856736048506
"(""NNSE"", ""NnpKGE"")",377.0489013156653,34.445982236247495,53.85400937661286,4.893620600881082,85.54602503366695,12.898301074194466,253.70937371409605,6.354157880927264,319.4666371512711,60.11054393584576
"(""NNSE"", ""split_NNSE"")",169.19058102841473,66.74481507016134,125.12024981806118,13.743202165120874,180.66337519445835,5.82786785090479,50.067104580264335,6.954078287519274,79.10863403802878,25.07331165752755
"(""NNSE"", ""split_NmKGE"")",570.2107216358039,107.50471791219847,207.7368715661941,37.03907988708131,281.4417907055353,4.033283143978804,476.19125860605186,23.07697028327538,506.5369936775412,84.0962862252225
"(""NNSE"", ""split_mean_NmKGE"")",7.657789493612498,11.194862164097069,9.798858726548255,2.1113425024326875,15.535988001439927,15.937255988418594,7.702185573937404,2.466402916009697,9.464850600679904,20.463170021917417
"(""NNSE"", ""split_NnpKGE"")",98.88537310486444,33.04700822750354,51.17365087244564,14.111373225821373,83.75889716441117,1.270754292278082,52.87359965713509,5.15288782560311,79.0244347901466,20.69580000829493
"(""NmKGE"", ""NNSE"")",46.70645045326439,15.943396693729136,5.6913884993629,4.819235798917706,8.62326325986531,34.3876910224044,37.722575991017656,5.720265038966984,38.17591947367236,102.9108722502557
"(""NmKGE"", ""mean_NmKGE"")",26.75104695873155,23.80659900032482,17.3560113414825,4.6294294222408965,32.52875045108367,34.2616171276499,18.220721489338683,7.0389155916522,21.227579250308196,100.67606591725144
"(""NmKGE"", ""NnpKGE"")",18.290146109263443,19.894153158541478,13.71355366663373,3.023294943805415,25.698109485799446,30.961055046019574,16.142345844796072,6.062891969475002,13.371251088857186,102.98506647000876
"(""NmKGE"", ""split_NNSE"")",31.199521714952127,15.780490469876591,3.2262894740368604,8.243508307390371,4.0260285761398595,35.07193452609955,32.44171346151482,7.185315067623861,41.248143414078505,95.52206128352556
"(""NmKGE"", ""split_NmKGE"")",63.19221882640881,24.30728088666402,12.128731034741625,23.776119022208206,14.082363838715057,35.063359799068806,74.96933165985688,17.55020380233571,76.72205416317954,112.92238728960407
"(""NmKGE"", ""split_mean_NmKGE"")",78.17189881634978,23.9117292484196,18.30430926482234,2.7106340673804215,35.73282330703133,33.29173037084704,71.90582366695493,4.244034858956649,107.0904190068094,88.72529750319232
"(""NmKGE"", ""split_NnpKGE"")",28.93369683420872,20.04630963670075,9.226171887407617,8.12047786743736,17.212531011932075,34.80592003073282,25.68041731777594,6.3566097315619405,34.10715038604116,97.81970419373927
"(""mean_NmKGE"", ""NNSE"")",184.79504034452202,37.10065479556915,64.65248245468538,5.226970716800591,101.34640974998386,4.728583919922993,167.98047135214995,7.514747941252492,199.25420322593618,86.60739126114531
"(""mean_NmKGE"", ""NmKGE"")",22.719187041589166,21.315988386074704,14.83248891592405,4.401431491176341,27.056196293271146,32.490337373776626,21.40860023513547,5.883622247561304,21.674793497254946,104.914136609181
"(""mean_NmKGE"", ""NnpKGE"")",29.521397153472712,18.049715725579883,21.07509939048386,7.819355846560899,29.67932714012965,16.65046419004909,15.886118840981473,8.13740363803701,10.688902833104448,75.3663331269072
"(""mean_NmKGE"", ""split_NNSE"")",64.31663467267538,24.115097940149052,12.690240039846946,2.823431866859691,16.78120952002612,52.740652433561344,84.38558021954385,11.18497670249667,97.7603508785422,26.244393301068563
"(""mean_NmKGE"", ""split_NmKGE"")",130.645160488864,54.09166537419559,48.693280583495216,23.422101443666794,63.700280627640524,75.15261405127946,118.54475507719285,25.520603895279475,102.5329444906443,337.7796182859915
"(""mean_NmKGE"", ""split_mean_NmKGE"")",135.8030175013687,19.421228256830105,18.09795443944056,2.9535280000674997,36.14691482246676,19.16324194795605,165.7919514137305,6.368166611524363,187.68813794745873,43.67672683877566
"(""mean_NmKGE"", ""split_NnpKGE"")",40.303694264106085,24.528133426704397,3.3829796223239272,16.09402379256036,2.230324286830811,55.260052200722015,60.18607110021693,7.814073507575269,54.772565255673,60.38504626458294
"(""NnpKGE"", ""NNSE"")",300.5416956898202,27.32490373861229,39.13483612555582,7.522996260592267,63.78078383067051,10.67093112457408,200.70304837270396,8.373500914913722,243.16450020422113,63.152905505833736
"(""NnpKGE"", ""NmKGE"")",19.165734286613088,15.703792000337764,14.830979952630635,4.087113436018477,27.01649865220133,16.007763912793482,19.1565728077215,6.096103699239987,16.114607892465852,69.79889969212641
"(""NnpKGE"", ""mean_NmKGE"")",27.201938014947814,16.619720985161578,19.610208547422655,8.28658561502304,27.04398382542938,14.528593515032316,22.336126898951115,7.938411904354256,15.779947494982464,64.86636939663069
"(""NnpKGE"", ""split_NNSE"")",93.3520181786321,24.600340648878742,26.47913503444487,22.5589811225426,36.02772063602341,15.214320188070213,59.20521708102287,5.139379255461883,64.0026945473821,67.85580677925107
"(""NnpKGE"", ""split_NmKGE"")",240.14061040894393,55.03248554952753,79.44149074626824,36.77855680035372,112.79860572847669,15.520294119752176,178.80130013729394,17.984588271104272,209.5596287990127,67.7350208803799
"(""NnpKGE"", ""split_mean_NmKGE"")",60.7777056766806,20.018497632961143,19.863576632089554,9.166210549374188,36.480650580128795,14.408631769380447,58.63898648341515,2.972061151580375,73.22959374986571,64.41341435610755
"(""NnpKGE"", ""split_NnpKGE"")",20.3251121203395,12.487776370590616,7.100414791449244,15.090541107301972,7.172558280088296,15.20022972438158,18.517673816639434,4.588141733733444,13.20756217271192,65.63634622604718
"(""split_NNSE"", ""NNSE"")",377.5830685616125,107.68438487279717,208.3544005617671,4.752236040004427,294.0224410919438,24.278477486443258,140.5241673579202,4.9660195518573715,224.08472394998716,80.49470390744969
"(""split_NNSE"", ""NmKGE"")",51.463706973918654,20.561747166104414,12.584337200157472,3.6994848006352727,23.18483441600645,34.80092228167152,63.84657596108518,6.078227690685192,65.76476073154483,81.88317636854623
"(""split_NNSE"", ""mean_NmKGE"")",28.4342878187758,25.269650703219856,12.583138311565637,2.6087570603837293,16.560098404021666,56.64009664525417,31.236475475510368,10.89822563140371,40.196540228877886,23.540281580183397
"(""split_NNSE"", ""NnpKGE"")",23.54301056398599,19.89108095298591,13.79631723824677,18.82691937112931,12.272361579497243,28.573961908331174,39.59063358014712,6.53080489115271,30.450883036792526,90.29355416626122
"(""split_NNSE"", ""split_NmKGE"")",367.661160797984,153.58980817313576,213.94141639643144,59.721140447545096,267.2189297650808,133.82935430678134,207.56449377244874,38.518315301024494,243.33288471136845,23.471903864882442
"(""split_NNSE"", ""split_mean_NmKGE"")",121.58645870683156,13.852536769495144,8.743490961753396,1.5781748589639641,18.34555521034882,21.633880239172644,165.58050936881813,3.4977148652186467,156.9823233140569,114.66350943070597
"(""split_NNSE"", ""split_NnpKGE"")",13.421499840224511,32.1562520949012,10.3324605839037,14.216181268286883,10.97371375235673,71.27886126406,33.74076081184543,7.198835339330399,20.61849895590705,92.83633786586998
"(""split_NmKGE"", ""NNSE"")",716.9521024114448,126.12162764078215,250.6109435984011,13.942187080644663,334.7376445671727,29.685051274529073,700.2331052772674,13.43159124687853,730.5314286736495,178.48483874657055
"(""split_NmKGE"", ""NmKGE"")",17.9849163251792,19.507375131359016,8.700044732683747,3.736170904164588,16.569802296807076,38.21615219310538,21.3393763465913,7.071374398044853,16.270864532895136,134.09469311967038
"(""split_NmKGE"", ""mean_NmKGE"")",128.8404808601265,54.107661004538706,48.73076002631387,23.229770999113825,63.90384546864885,75.18936654585346,118.67131173835689,25.528673691533424,102.67306264743597,337.83841138489527
"(""split_NmKGE"", ""NnpKGE"")",87.4645377975269,35.05176583583696,28.532837507362395,41.032675468887966,27.085293074832443,37.03732896379047,96.63611244880927,17.491195677101906,82.32810829664128,210.29399300035342
"(""split_NmKGE"", ""split_NNSE"")",580.5492811099981,154.54171760633372,213.7819190012159,59.80273271245059,266.6792792644846,137.14314084206597,509.58258279675294,38.76156675542303,455.2231753290031,493.843463825663
"(""split_NmKGE"", ""split_mean_NmKGE"")",259.4506407226336,100.54080722228775,131.18353694118593,42.82160281660756,178.09245917329955,80.70835967695614,176.2374667674376,32.246999507805,192.6425034872365,116.45030199431112
"(""split_NmKGE"", ""split_NnpKGE"")",32.72668151623728,47.95696279108137,31.37917162443364,22.434617037048508,41.7558663256459,79.68040501054968,6.593852156842006,17.023668762912987,15.520849072895658,24.54151820746526
"(""split_mean_NmKGE"", ""NNSE"")",49.486121687216304,48.94226085359991,80.09263876048642,3.1573606189276044,129.92694285684559,13.742479085026531,5.476148041255727,3.9435337310432215,27.444406748210145,59.239360236041335
"(""split_mean_NmKGE"", ""NmKGE"")",136.22301200012245,21.64766360609364,15.140385882935641,4.509805709613795,28.022793802396606,32.41039130627052,155.8563753296391,6.408977240872416,158.9748269378608,103.67696988277311
"(""split_mean_NmKGE"", ""mean_NmKGE"")",88.63111014930398,19.338747668801993,17.96179413546918,2.996673808740512,35.88328013052863,19.136289067136836,80.21658914458628,6.042793129015076,108.59550341739214,20.673012970920315
"(""split_mean_NmKGE"", ""NnpKGE"")",99.00527066242,18.161231704546772,17.557227587953452,7.691060176838073,29.941582918802656,16.851052017999585,110.68320268329418,4.55908267573591,111.78059902084493,75.81956029666455
"(""split_mean_NmKGE"", ""split_NNSE"")",151.26362044940853,13.659415090373292,7.990926869522283,1.674822067623719,16.72385266024136,22.579570543254796,193.46701971683538,3.6380028629530177,183.7314222168134,117.68082744123987
"(""split_mean_NmKGE"", ""split_NmKGE"")",266.3771511987966,102.29914681389373,134.21205823313608,43.212131798226984,181.8102562302606,81.87505241319359,194.99321438656466,32.654843386353896,213.1426990673125,65.82302770910073
"(""split_mean_NmKGE"", ""split_NnpKGE"")",43.66585559556146,22.959489988397426,4.588082471752726,15.763801159681929,3.879580721808766,49.235088083701584,70.69092035458502,5.230969852433695,50.97253518921252,101.01855040872194
"(""split_NnpKGE"", ""NNSE"")",145.26175392856547,63.88878128173087,104.69789914020564,9.552142553843568,161.48415605693762,20.630045234411412,53.603478053745356,5.136652893979421,113.72287341989635,46.67759783770615
"(""split_NnpKGE"", ""NmKGE"")",104.5882606362562,22.31105190941446,14.539794037597296,5.184501552650438,27.057789193173413,34.69086498241952,101.62749259828621,6.857719355129351,100.94218068021262,31.50148810808329
"(""split_NnpKGE"", ""mean_NmKGE"")",19.543548157245773,24.548123026157143,3.331771438562442,16.286372493593493,2.1538835055724093,55.20411307930553,21.492235826945592,7.618747748076897,28.302735544917056,55.36184317129503
"(""split_NnpKGE"", ""NnpKGE"")",39.74350964037342,20.15530227196926,7.540415218322763,17.943137862577185,7.129890713397684,35.392878239932905,48.766223992200565,7.028403335401073,35.227114662913486,93.75128445506408
"(""split_NnpKGE"", ""split_NNSE"")",32.994424747031424,30.98759210268956,10.291894774603492,13.79847885312018,11.110691079267232,68.05360637568127,59.18034310630216,7.471246235809168,47.60657809384718,87.74937090615076
"(""split_NnpKGE"", ""split_NmKGE"")",95.69987512941181,47.83665825845869,31.358706604235312,22.378600010982208,41.539847523525125,79.59152724086873,95.9177164616803,17.18660717696546,96.57362147800133,139.5099513384495
"(""split_NnpKGE"", ""split_mean_NmKGE"")",58.82071380059514,22.655361284020405,4.4405302868767205,15.321705704092372,3.85595728526766,48.78842086270118,89.02379922938113,5.483197637407361,74.67133028506092,87.24280219236357
